"isrc";"artist_id";"streams";"weeks_in_charts";"n_regions";"danceability";"energy";"speechiness";"instrumentalness";"liveness";"valence";"tempo";"song_length";"song_age";"explicit";"n_playlists";"sp_popularity";"youtube_views";"tiktok_counts";"ins_followers_artist";"monthly_listeners_artist";"playlist_total_reach_artist";"sp_fans_artist";"shazam_counts";"artistName";"trackName";"release_date";"genre";"label";"top10";"expert_rating"
"NLG661700846";5578;400634;11;1;73,9;67,1;35,7;0;15,8;56;95,017;3,13368333333333;177,285714285714;0;44;28;0;0;223536;1164207;5275419;43339;0;"Jonna Fraser feat. Zoë Tauran";"Solo Bent";"2017-10-27";"HipHop/Rap";"Universal Music";0;"poor"
"TCADP1801131";1015100;55653;2;1;59,3;62,7;5,6;0;36,2;36,7;150,297;3,2;152,571428571429;1;14;42;0;0;193403;462308;328199;111605;0;"KIKESA";"Plage 80";"2018-04-19";"Pop";"Independent";0;"good"
"USUG11801505";5204;2867;1;1;28,5;69,4;4,82;0,01;37,4;16,3;170,124;3,68823333333333;137,285714285714;0;669;4;1243267;300;622114;12225928;135898708;74484;138436;"ILLENIUM";"Take You Down";"2018-08-03";"Electro/Dance";"Universal Music";0;"fair"
"USUM70506655";487771;568013;21;1;62;60,8;2,9;0;6,25;60,8;139,066;3,96333333333333;846,142857142857;0;371;62;0;89;0;608142;2269370;20899;0;"Árbol";"El Fantasma";"2005-01-01";"Rock";"Universal Music";0;"fair"
"TWFE12000002";1039289;215174;28;1;55,5;34,8;2,96;0;11;15,1;114,08;4,50646666666667;22,2857142857143;0;23;45;0;0;823968;423040;777854;52;10785;"吳青峰";"最難的是相遇";"2020-09-16";"Pop";"Universal Music";0;"fair"
"PLUM71400737";111818;65062;3;1;48,9;31,4;3,33;0;10;14,5;138,511;2,69178333333333;329,714285714286;0;4;32;0;0;29;39769;136770;227;0;"Rafał Brzozowski";"Nie Było Miejsca Dla Ciebie";"2014-11-25";"other";"Universal Music";0;"good"
"COSO11700136";74593;42931;8;1;66,7;77,6;7,89;0;27,9;69,1;159,871;3,80888333333333;196,285714285714;0;5;27;7250742;0;1353977;254862;887438;379499;5275;"El Gran Martín Elías";"Que Viva El Amor";"2017-05-31";"German Folk";"Sony Music";0;"excellent"
"FIUM71800585";1022332;156911;20;1;58,7;83,9;9,51;0,000102;7,43;42,2;173,926;3,64495;119,571428571429;0;9;33;0;0;0;43090;153438;431;327;"edi";"Aikaa Ei Oo";"2018-12-05";"Pop";"Universal Music";0;"fair"
"ITB551815046";53964;298797;6;1;62,5;96,3;21,1;0;43,6;51,5;123,976;2,89578333333333;143,285714285714;0;7;39;453564;0;1581557;1979681;5845449;39987;0;"Achille Lauro feat. Boss Doms";"BVLGARI";"2018-06-22";"HipHop/Rap";"Sony Music";0;"fair"
"NLG661900402";207947;321835;7;1;84,3;48,8;30;0,65;8,48;27,9;100,054;2,46378333333333;92,4285714285714;0;86;38;0;4;413812;1773524;5027369;51266;20521;"Bizzey feat. Kevin feat. LouiVos feat. Yung Felix";"Mapima";"2019-05-17";"HipHop/Rap";"Universal Music";0;"good"
